store_id,store_name,address,city,state,zip,lat,lon,territory
4925,West Bend,,,,,43.3996033,-88.1853295,5
4926,Racine,2429 S Green Bay Road,Racine,WI,53406.0,42.70201,-87.84966,5
4928,Appleton,2201 S Kensington Ave,Appleton,WI,54915.0,44.24179,-88.36204,5
4929,Lake Delton,136 Commerce Street,Lake Delton,WI,53940.0,43.58503,-89.8102,5
4930,Rhinlander,,,,,45.6310748,-89.3886457,5
4931,Wausau,2705 Sherman Street,Wausau,WI,54401.0,43.58503,-89.8102,5
4935,Hudson,2330 Crest View Dr,Hudson,WI,54016.0,44.9579,-92.72442,7
4940,Menomonee Falls,N94 W 18375 Thunder Ridge,Menomonee Falls,WI,53051.0,43.18733,-88.13747,5
4941,SE Milwaukee,150 W Holt Ave,Milwaukee,WI,53207.0,42.98403,-87.91152,5
4942,Wisconsin Rapids,,,,,44.3777926,-89.7982443,5
6701,Elk Grove Village,600 Meacham Road,Elk Grove Village,IL,60007.0,42.00902,-88.04776,4
6822,Alsip,12000 S. Cicero Avenue,Alsip,IL,60803.0,41.67477,-87.74217,3
6887,Yorkville,735 Edward Ln,Yorkville,IL,60560.0,41.6645,-88.45918,2
6919,Frankfort,20101 LaGrange Road,Frankfort,IL,60423.0,41.52435,-87.84731,2
6920,Alton,1710 Homer Adams Pkwy,Alton,IL,62002.0,38.92087,-90.16527,1
6923,South Elgin,440 S. Randall Road,South Elgin,IL,60177.0,41.98262,-88.3439,2
6925,Shorewood,621 Brook Forest Avenue,Shorewood,IL,60435.0,41.53342,-88.20227,2
6961,Collinsville,1049 Collinsville Crossing Blv,Collinsville,IL,62234.0,38.67411,-90.01459,1
6981,Mundelein,3200 W. Route 60,Mundelein,IL,60060.0,42.28636,-88.04653,4
6987,Normal,,,,,40.5237232,-88.9551462,1
8430,Jacksonville,1601 W Morton Ave,Jacksonville,IL,62650.0,39.72098,-90.25431,1
8431,Round Lake Beach,2050 N. IL Route 83,Round Lake Beach,IL,60073.0,42.38537,-88.06456,4
8598,Lincoln/McCormick,6211 N Lincoln Ave,Chicago,IL,60659.0,41.99647,-87.71405,4
8994,Chesterfield,390 Thf Boulevard,Chesterfield,MO,63005.0,38.66595,-90.60549,1
