SKU Name,SKU,Sent In,Weeks Sent In,Unnamed: 4
"6"" Ficus Ginseng",1005-837-415,"6"" Ficus Tineke",30,
"4"" Floral Premium",135-235,"4.5"" Hanging Basket",30,
"6"" Floral Ceramic",124-803,"5"" Olive Tree",30,
"4"" Calla Lily",865-248,"4"" Pachira Stump",30,
Large Oval,136-583,"6"" Stromanthe Triostar","30, 37",
Large Fairy Garden,1001-363-234,"4"" Philodendron 'Pink Princess'",30,
"4"" Floral Seasonal",131-403,"4"" Tradescantia",30,
"6"" Philodendron Prince of Orange",1005-837-373,"6"" Jungle Fan Philodendron","30, 34",
"8"" Basket Grass Hanging Basket",1001-199-148,"8"" Teddy Bear Vine Hanging Basket",31,
"8"" Basket Grass Hanging Basket",1001-199-148,"8"" Peperomia Prostrata Hanging Basket",31,
"8"" Premium Hanging Basket",931-208,"8"" Syngonium Hanging Basket",31,
"8"" Angel Basket",773-253 ,"5"" Slope Bowl Terrarium",31,
"6"" Starter Bonsai",1000-043-979,Back-to-School Lucky Bamboo,31,
Small Fairy Garden,1001-363-212,Scops Owl Planter,31,
"7"" PW Sprouts Wicker",1007-546-454,"7"" PW Alocasia Stingray","31, 39, 45",
"7"" PW Sprouts Ceramic",1007-546-423,"7"" Alocasia Frydek","31, 32",
"6"" Luxury Foliage",1006-939-475,"12.5"" Large Nook Garden",31,
"6"" Floral Holiday",808-066,"4"" Sonesta Planter w/Foliage",31,
"8"" Ivy Tree",865-479,"6"" Bog Garden in Monster Box","32, 39",
"6.5"" Ceramic Luxury Foliage",1007-927-856,"8"" Nexus Planter w/Calathea",32,
"8"" Pearl & Jade Hanging Basket",1005-837-391,"8"" Philodendron Micans Hanging Basket",33,
"8"" Premium Succulent Combo",1002-086-038,"8"" Hoya Hanging Basket",33,
"6"" Aglaonema Maria",1005-837-398,"6"" Purple Sword",33,
Inn Alive Coll Petite,405-288,Driftwood w/Bromeliad,33,
"7.5"" Snowburst Teapot",587-365,Coconut w/Staghorn Fern,33,
"6"" Watering Cans",931-076,"5"" Pineapple",33,
"10"" Luxury Tropical ",1005-796-168,"10"" Ficus Audrey w/pot cover",33,
"7"" PW Sprouts Wicker",1007-546-454,"7"" Alocasia Safari",33,
"6"" Floral Holiday",808-066,"4"" Natural Elements Planter w/Foliage",33,
"6"" Ivy Hoop",714-994,"6"" String of Mix Hanging Basket",33,
"6"" Aglaonema Maria",1005-837-398,"6"" Homalomena Camouflage",34,
"6"" Ficus Ginseng",1005-837-415,"6"" Ficus Triangularis",34,
"8"" Basket Grass Hanging Basket",1001-199-148,"8"" Peperomia Diamond Hanging Basket",34,
"8"" Premium Hanging Basket",931-208,"8"" Philodendron Dragon Tail Hanging Basket",34,
"10"" Totem Pole",1000-012-229,"8"" Imperial Green Philodendron",34,
"10"" Ficus Robusta",1000-005-208,"8"" Ficus Ruby",34,
"10"" Supreme Tropical",1000-042-855,"8"" Aralia Stump",34,
"8"" Holiday Floral Combo",1001-363-239,"8"" Philodendron Shangri La ",34,
10” Marble Bonsai,1005-847-051,"8"" Skog Planter w/Foliage",35,
6” Ivy Topiary,1000-029-760,"6"" Olive Tree in Tuscany ceramic",35,
"5"" Puddle Boots",931-043,"4"" Pumpkin Patch Tin w/Tropicals",35,"4"" money tree also shipped"
Succulent Birdhouse,1001-306-823,Pumpkin Spice Mugs w/Garden,35,50% Off
"4"" Terra Cotta",1006-939-489,"4"" Rex Begonia in Clay",35,
"5"" PW Sprouts Ceramic",1007-546-420,"5"" Alocasia Ninja",36,
"10"" Promo Foliage",1000-003-903,"10"" Croton w/pot cover","36, 40",
"10"" Anthurium",1000-005-263,"10"" Heliconia",36,
"6"" Melamine",921-310,"6"" Rex Begonia in grower pot ",36,
"6"" Holiday Floral Combo",1001-363-224,"6"" Calla Lily",36,
"10"" Deco Tropical w/Ceramic",1005-796-171,"10"" Philodendron Dragon Tail Totem Pole",37,
"10"" Luxury Tropical ",1005-796-168,"10"" Mass Cane Combo",37,
"4"" Floral Premium",135-235,"4"" Hoya Wayettii Variegated",37,
4.5” Lucky Bean,657-420,"4"" Hoya Compacta Green",37,
"8"" Holiday Floral Basket",1001-363-220,Hamlet Planter w/Sans,39,50% Off
"8"" Holiday Floral Basket",1001-363-220,"5"" Pumpkin Planter w/ Garden",39,50% Off
"8"" Holiday Floral Combo",1001-363-239,Gnome w/Tradescantia,39,50% Off
"6"" Floral Dish Garden",1001-679-143,Na'maste Dead Air Plant,39,50% Off
Tillairum Glass Airplant,1000-017-354,Spider Air Plant,39,50% Off
Medium Fairy Garden,1001-363-215,Calavera Skull Bonsai,39,50% Off
"7"" PW Sprouts Ceramic",1007-546-423,"7"" PW Philodendron Mayoi",39,
"4"" Round Bonsai",1000-043-976,"3"" Moriarty w/Dracaena",39,50% Off
"4"" Easter Egg",657-585,"2.5"" Mini Kalanchoe in Pumpkin",39,50% Off
"5"" Puddle Boots",931-043,"4"" Braided Money Tree",40,
"6"" Ivy Hole in One",865-512,"6"" Hoya Macrophylla",40,
"7.5"" Snowburst Teapot",587-365,"6"" Hoya Krimson Queen HB",40,
"6"" Starter Bonsai",1000-043-979,"4.5"" String of Turtles Hanging Basket",40,
"7"" Gingerbread House",587-631,"6"" Hoya Splash HB",40,
"6"" Gloxinia",102-876,"4"" Gloss Kalanchoe in BCA Pink Tin",40,
"5"" Pitcher Plant",761-853,"4"" Hoya Curtisii",41,
"6"" Floral Holiday",808-066,"4"" Kalanchoes in Calavera pot",41,50% Off
"6"" Calla Lily",136-619,"2.5"" Kalanchoes in Day of the Dead pot",41,50% Off
"6"" Summer Floral",496-407,"4"" Anthurium",41,
"6"" Ficus Triangularis",1008-594-547,"6"" Ficus Tineke",42,
"7"" PW Sprouts Wicker",1007-546-454,"7"" PW Philodendron Narrow Tiger","42, 50",
"8"" Angel Basket",773-253 ,"4"" Philodendron Birkin in Ceramic",42,
"6"" Deco Foliage",457-004,"4"" Foliage in Marble Square Pot",42,
6x10 Terrarium,1000-002-103,Bonsai Starter Kit,45,
"6"" Succulent",1002-086-039,Snowman w/Air Plant,45,
"3"" Mini Orchid w/Floral Combo",1007-760-018,Mini Orchid in Glass w/Beads,45,
"8"" Hanging Basket",262-774,"8"" Nephthytis Hanging Basket",46,
"8"" Angel Basket",773-253 ,"4"" Foliage in Luxmas Ceramic",46,
"6"" Floral Premium",136-213,"6"" Kalanchoe in Christmas Sweater Tin",46,
"5"" Lucky Bamboo",866-700,Ceramic Reindeer with Haworthia ,46,
New Age Bamboo,725-833,Merry Cheer Joy Lucky Bamboo,46,
6X8 Bonsai,728-799,Christmas Sweater Bonsai,46,
"6"" Starter Bonsai",1000-043-979,"4"" Nepenthes Hanging Basket","46, 50",
"6"" Asiatic Lily",136-517,"4"" Rosemary Tree",47,
"4"" Floral Holiday",808-047,"2.5"" Mini Holiday Kalanchoe",47,
"3"" Mini Orchid w/Floral Combo",1007-760-018,"4"" Mini Holiday Orchid Combo",47,
"12"" Floral Lavender", 833-297,"5"" Stephanotis in Ceramic",49,
"6"" Luxury Foliage",1006-939-475,"6"" Crater Lake with Foliage",49,
"6"" Pothos Neon",1005-837-405,"6"" Pearls & Jade Pothos",49,
"7"" Gingerbread House",587-631,"4.5"" Hoya Macrophyyla Hanging Basket",49,
"6"" Ivy Hole in One",865-512,"6"" Whale fin Sansevieria 'Victoria'",50,
"7"" PW Sprouts Ceramic",1007-546-423,"7"" PW Monstera Minima on Moss Pole",50,
"7"" PW Sprouts Wicker",1007-546-454,"7"" PW Epipremnum 'Silver Stripe' on Moss Pole",50,
"7"" PW Sprouts Wicker",1007-546-454,"7"" PW Hawaiian Pothos on Moss Pole",50,
"4"" Floral Premium",135-235,"4"" Anthurium",50,
